block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,min_dup_leaves,median_dup_leaves,max_dup_leaves
2011,73,15.651369266757403,2,18,1,1.0,1
2012,73,13.38760730365225,2,17,1,1.0,1
2013,73,11.208487596173017,1,14,1,1.0,1
2014,73,13.38760730365225,2,17,1,1.0,1
2015,73,13.38760730365225,2,17,1,1.0,1
2016,73,10.957808428485748,1,14,1,1.0,1
2017,73,13.38760730365225,2,17,1,1.0,1
2018,73,13.38760730365225,2,17,1,1.0,1
2034,17,5.447363020953258,1,10,1,1.0,1
2131,36,0.7897494675683753,1,4,1,1.0,1
2150,58,1.3870326337460506,1,6,1,1.0,1
2161,50,0.06812932397998449,1,2,1,1.0,1
2179,30,21.183296677761486,2,21,1,1.0,1
2180,30,21.183296677761486,2,21,1,1.0,1
2184,6,0.12218765726985364,1,2,1,1.0,1
2192,43,22.18650184642627,1,20,1,1.0,1
2195,0,5.33060473985076,2,12,1,1.0,1
2201,12,4.992930097525939,1,9,1,1.0,1
2202,12,2.8612529633690906,1,7,1,1.0,1
2235,79,0,0,0,1,1.0,1
2246,14,1.4545040941852518,2,12,1,1.0,1
2290,80,26.32290385457702,1,26,1,1.0,1
2291,80,26.32290385457702,1,26,1,1.0,1
2292,80,26.32290385457702,1,26,1,1.0,1
2305,18,7.309889264445968,1,12,1,1.0,1
2326,18,0.20876834217197965,1,3,1,1.0,1
2332,14,2.627757760174819,2,12,1,1.0,1
2337,58,0.9933320563474634,3,10,1,1.0,1
2338,58,0.8248165176511856,1,6,1,1.0,1
2339,58,0.49385049374633555,1,5,1,1.0,1
2344,64,0,0,0,1,1.0,1
2369,81,5.295958667047213,2,14,1,1.0,1
2376,82,0,0,0,1,1.0,1
2379,82,0,0,0,1,1.0,1
2387,82,0,0,0,1,1.0,1
2388,82,0,0,0,1,1.0,1
2389,82,0,0,0,1,1.0,1
2406,82,1.342554058970491,1,6,1,1.0,1
2407,82,1.342554058970491,1,6,1,1.0,1
2408,82,0,0,0,1,1.0,1
2409,82,0,0,0,1,1.0,1
2451,83,0.4951638177116975,1,5,1,1.0,1
2453,83,4.878896967443247,2,11,1,1.0,1
2467,62,0,0,0,1,1.0,1
2470,23,4.256011493114271,2,13,1,1.0,1
2471,23,4.256011493114271,2,13,1,1.0,1
2472,23,4.256011493114271,2,13,1,1.0,1
2473,23,4.256011493114271,2,13,1,1.0,1
2474,23,4.256011493114271,2,13,1,1.0,1
2475,23,1.453363805006559,1,8,1,1.0,1
2477,11,0.05516573425148657,1,2,1,1.0,1
2484,84,0,0,0,1,1.0,1
2485,85,3.700356578817393,1,9,1,1.0,1
2497,14,0.04609461840427625,1,2,1,1.0,1
2504,86,0.07263934685974612,1,2,1,1.0,1
2511,0,0.08381424188496851,1,2,1,1.0,1
2542,34,1.9106716816573015,1,6,1,1.0,1
2566,12,0.08306882705392037,1,3,1,1.0,1
2613,87,2.072381613425509,1,7,1,1.0,1
2641,69,2.1282234982944837,1,6,1,1.0,1
2674,18,0,0,0,1,1.0,1
2687,88,0.6922148800780374,1,5,1,1.0,1
2723,14,0.8170018616361364,2,7,1,1.0,1
2724,20,0,0,0,1,1.0,1
2748,70,0.37962116914801813,1,5,1,1.0,1
2749,70,0,0,0,1,1.0,1
2750,70,0.37962116914801813,1,5,1,1.0,1
2751,70,0.37962116914801813,1,5,1,1.0,1
2842,44,0.1384690332840696,1,2,1,1.0,1
2843,44,0.1384690332840696,1,2,1,1.0,1
2909,89,0.08583227555060148,1,2,1,1.0,1
2938,81,0.07976713401939425,1,2,1,1.0,1
2940,70,0.2690620773044545,2,5,1,1.0,1
2941,70,0.2690620773044545,2,5,1,1.0,1
2942,70,0,0,0,1,1.0,1
2951,70,0,0,0,1,1.0,1
2953,6,0,0,0,1,1.0,1
2959,88,0.24647188088778532,1,3,1,1.0,1
2974,23,0.7348709357929717,1,4,1,1.0,1
3033,23,0.43932974743128406,1,3,1,1.0,1
3067,24,0.040219587808842744,1,2,1,1.0,1
3083,77,0,0,0,1,1.0,1
3088,36,0.8911328257351869,1,4,1,1.0,1
3091,83,0,0,0,1,1.0,1
3098,14,0.03200565445572568,1,2,1,1.0,1
3100,77,0,0,0,1,1.0,1
3101,77,0,0,0,1,1.0,1
3102,77,0,0,0,1,1.0,1
3105,88,0.47830411527505456,1,4,1,1.0,1
3121,90,0,0,0,1,1.0,1
3122,90,0,0,0,1,1.0,1
3135,90,0,0,0,1,1.0,1
3182,60,0,0,0,1,1.0,1
3183,70,0.15765437912425806,1,3,1,1.0,1
3184,70,0.15765437912425806,1,3,1,1.0,1
3185,70,0.15765437912425806,1,3,1,1.0,1
3192,15,0,0,0,1,1.0,1
3232,76,0,0,0,1,1.0,1
3239,88,0.16257988861119357,1,2,1,1.0,1
3240,88,0.16257988861119357,1,2,1,1.0,1
3241,88,0.16257988861119357,1,2,1,1.0,1
3313,70,0.18529095859629421,1,2,1,1.0,1
3315,44,0.6167763766694845,1,4,1,1.0,1
3321,35,0.030102849327826257,1,2,1,1.0,1
3328,85,0,0,0,1,1.0,1
3331,30,1.3111468575920033,1,5,1,1.0,1
3332,30,1.3111468575920033,1,5,1,1.0,1
3333,30,1.3111468575920033,1,5,1,1.0,1
3352,89,0,0,0,1,1.0,1
3354,80,0.03877502554248496,1,2,1,1.0,1
3364,87,0.2809934223257574,1,3,1,1.0,1
3369,88,0,0,0,1,1.0,1
3404,80,0,0,0,1,1.0,1
3408,14,0,0,0,1,1.0,1
3423,81,0,0,0,1,1.0,1
3437,14,0,0,0,1,1.0,1
